,time,volume,open,close,high,low,ema,ma,contract_turnover,deal,commission,open_position,order_position
1,2022-04-25 08:35:00+00:00,1,99.53,99.53,99.53,99.53,100.02336363636364,100.071,69671.0,sell,27.8684,-70.0,-70.0
27,2022-04-25 13:00:00+00:00,4,100.88,101.18,101.18,100.88,100.91592122487046,100.897,-139628.40000000002,buy,55.851360000000014,68.0,138.0
29,2022-04-25 13:10:00+00:00,5,100.51,100.51,100.51,100.51,100.7951208199546,100.83,138703.80000000002,sell,55.48152000000001,-70.0,-138.0
48,2022-04-26 08:15:00+00:00,1,99.9,99.9,99.9,99.9,100.188,100.188,-139860.0,buy,55.944,70.0,140.0
49,2022-04-26 08:25:00+00:00,4,99.77,99.64,99.77,99.64,100.08836363636362,100.095,139496.0,sell,55.7984,-70.0,-140.0
62,2022-04-26 10:05:00+00:00,4,99.74,99.75,99.75,99.74,99.64414780816284,99.575,-139650.0,buy,55.86,70.0,140.0
90,2022-04-26 14:15:00+00:00,3,100.2,100.0,100.2,100.0,100.18287669191884,100.189,140000.0,sell,56.0,-70.0,-140.0
96,2022-04-26 15:10:00+00:00,8,100.24,100.25,100.25,100.24,100.08463419099314,100.054,-138345.0,buy,55.338,68.0,138.0
120,2022-04-27 10:35:00+00:00,4,99.13,99.54,99.54,99.11,99.71411639580732,99.73,139356.0,sell,55.7424,-72.0,-140.0
123,2022-04-27 11:10:00+00:00,1,99.64,99.64,99.64,99.64,99.61676247373666,99.597,-139496.0,buy,55.7984,68.0,140.0
129,2022-04-27 12:10:00+00:00,6,99.0,98.71,99.0,98.71,99.4028208714264,99.454,138194.0,sell,55.2776,-72.0,-140.0
168,2022-04-28 12:40:00+00:00,1,100.5,100.5,100.5,100.5,100.16128394242392,100.109,-138690.0,buy,55.476000000000006,66.0,138.0
204,2022-04-29 10:05:00+00:00,6,103.74,103.71,103.74,103.71,103.8006959325088,103.81000000000002,138971.4,sell,55.58856,-68.0,-134.0
217,2022-04-29 12:25:00+00:00,1,103.85,103.85,103.85,103.85,103.6870277791744,103.672,-139158.99999999997,buy,55.66359999999999,66.0,134.0
243,2022-04-29 15:30:00+00:00,30,104.31,104.25,104.32,104.25,104.50415252835305,104.637,68805.0,week end,27.522000000000002,0.0,-66.0
249,2022-05-04 08:10:00+00:00,11,105.75,106.32,106.32,105.75,105.43549135987976,105.426,-69107.99999999999,buy,27.643199999999997,65.0,65.0
